Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
99,4/4/17,CHO,@,WAS,4th,10:32.0,CHO down 10 (82-92),J. Lamb misses free throw 2 of 2,CHO down 10 (82-92)
100,4/4/17,CHO,@,WAS,4th,10:32.0,CHO down 11 (81-92),J. Lamb makes free throw 1 of 2,CHO down 10 (82-92)
101,4/4/17,CHO,@,WAS,2nd,00:32.0,CHO up 8 (59-51),M. Williams makes free throw 2 of 2,CHO up 9 (60-51)
102,4/4/17,CHO,@,WAS,2nd,00:32.0,CHO up 7 (58-51),M. Williams makes free throw 1 of 2,CHO up 8 (59-51)
103,4/4/17,CHO,@,WAS,2nd,03:34.0,CHO up 6 (49-43),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 7 (50-43)
104,4/4/17,CHO,@,WAS,2nd,03:34.0,CHO up 5 (48-43),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 6 (49-43)
105,4/4/17,CHO,@,WAS,2nd,03:43.0,CHO up 4 (47-43),K. Walker makes free throw 2 of 2,CHO up 5 (48-43)
106,4/4/17,CHO,@,WAS,2nd,03:43.0,CHO up 3 (46-43),K. Walker makes free throw 1 of 2,CHO up 4 (47-43)
107,4/4/17,CHO,@,WAS,1st,01:32.0,CHO up 4 (23-19),M. Belinelli makes free throw 2 of 2,CHO up 5 (24-19)
108,4/4/17,CHO,@,WAS,1st,01:32.0,CHO up 3 (22-19),M. Belinelli makes free throw 1 of 2,CHO up 4 (23-19)
109,4/4/17,CHO,@,WAS,1st,03:13.0,CHO up 4 (18-14),C. Zeller makes free throw 1 of 1,CHO up 5 (19-14)
110,4/4/17,CHO,@,WAS,1st,06:29.0,CHO tied (9-9),C. Zeller makes free throw 1 of 1,CHO up 1 (10-9)
111,4/2/17,CHO,@,OKC,4th,01:23.0,CHO up 13 (112-99),N. Batum makes free throw 2 of 2,CHO up 14 (113-99)
112,4/2/17,CHO,@,OKC,4th,01:23.0,CHO up 12 (111-99),N. Batum makes free throw 1 of 2,CHO up 13 (112-99)
113,4/2/17,CHO,@,OKC,4th,01:33.0,CHO up 12 (111-99),K. Walker misses free throw 2 of 2,CHO up 12 (111-99)
114,4/2/17,CHO,@,OKC,4th,01:33.0,CHO up 11 (110-99),K. Walker makes free throw 1 of 2,CHO up 12 (111-99)
115,4/2/17,CHO,@,OKC,4th,01:52.0,CHO up 13 (109-96),M. Williams makes free throw 2 of 2,CHO up 14 (110-96)
116,4/2/17,CHO,@,OKC,4th,01:52.0,CHO up 12 (108-96),M. Williams makes free throw 1 of 2,CHO up 13 (109-96)
117,4/2/17,CHO,@,OKC,4th,04:02.0,CHO up 13 (104-91),C. Zeller makes free throw 1 of 1,CHO up 14 (105-91)
